time,realization,lat,lon,experimentVersionNumber,t2m
1989-01-01,0,50.75,15.75,0001,271.77063
1989-02-01,0,50.75,15.75,0001,273.69885
1989-03-01,0,50.75,15.75,0001,276.83362
1989-04-01,0,50.75,15.75,0001,278.86914
1989-05-01,0,50.75,15.75,0001,284.05713
1989-06-01,0,50.75,15.75,0001,285.6007
1989-07-01,0,50.75,15.75,0001,288.12402
1989-08-01,0,50.75,15.75,0001,287.7173
1989-09-01,0,50.75,15.75,0001,285.09338
1989-10-01,0,50.75,15.75,0001,280.5791
1989-11-01,0,50.75,15.75,0001,272.1726
1989-12-01,0,50.75,15.75,0001,271.70764
1990-01-01,0,50.75,15.75,0001,271.87708
1990-02-01,0,50.75,15.75,0001,275.0464
1990-03-01,0,50.75,15.75,0001,277.005
1990-04-01,0,50.75,15.75,0001,277.76392
1990-05-01,0,50.75,15.75,0001,284.4973
1990-06-01,0,50.75,15.75,0001,286.13745
1990-07-01,0,50.75,15.75,0001,286.94153
1990-08-01,0,50.75,15.75,0001,288.28674
1990-09-01,0,50.75,15.75,0001,281.61267
1990-10-01,0,50.75,15.75,0001,279.87646
1990-11-01,0,50.75,15.75,0001,274.4309
1990-12-01,0,50.75,15.75,0001,269.59668
1991-01-01,0,50.75,15.75,0001,271.02478
1991-02-01,0,50.75,15.75,0001,265.7859
1991-03-01,0,50.75,15.75,0001,275.60095
1991-04-01,0,50.75,15.75,0001,277.28357
1991-05-01,0,50.75,15.75,0001,279.62708
1991-06-01,0,50.75,15.75,0001,284.67334
1991-07-01,0,50.75,15.75,0001,289.39746
1991-08-01,0,50.75,15.75,0001,287.8756
1991-09-01,0,50.75,15.75,0001,284.9209
1991-10-01,0,50.75,15.75,0001,278.16602
1991-11-01,0,50.75,15.75,0001,273.17554
1991-12-01,0,50.75,15.75,0001,268.90723
1992-01-01,0,50.75,15.75,0001,270.26318
1992-02-01,0,50.75,15.75,0001,271.97156
1992-03-01,0,50.75,15.75,0001,273.57043
1992-04-01,0,50.75,15.75,0001,278.35144
1992-05-01,0,50.75,15.75,0001,284.14893
